engine,BPR,OPR,year,mode_pct,thrust_kN,fuel_kg_s,TSFC
TFE731-2-2B,2.64,13.9,1975.0,1.0,15.6,0.205,0.04730769230769231
TFE731-3,2.64,14.3,1976.0,1.0,16.5,0.225,0.04909090909090909
AE3007A,5.23,18.08,1994.0,1.0,33.73,0.377,0.040237177586718055
AE3007C1,5.1,16.6,1994.0,1.0,31.5,0.322,0.0368
AE3007A1,4.77,17.97,1994.0,1.0,34.91,0.3826,0.03945459753652248
AE3007A1,4.77,17.97,2002.0,1.0,34.91,0.3826,0.03945459753652248
AE3007A1 series,4.76,17.81,1994.0,1.0,33.73,0.38,0.04055736732878743
AE3007A1,4.77,17.97,2001.0,1.0,34.91,0.3826,0.03945459753652248
AE3007A1/1,4.77,17.9,1994.0,1.0,34.74,0.3805,0.0394300518134715
AE3007A1/1,4.77,17.9,2002.0,1.0,34.74,0.3805,0.0394300518134715
AE3007A1/1,4.77,17.9,2001.0,1.0,34.74,0.3805,0.0394300518134715
AE3007A1/3,4.81,17.22,1994.0,1.0,33.05,0.3589,0.03909349470499243
AE3007A1/3,4.81,17.22,2002.0,1.0,33.05,0.3589,0.03909349470499243
AE3007A1/3,4.81,17.22,2001.0,1.0,33.05,0.3589,0.03909349470499243
AE3007A1P,4.77,17.9,1994.0,1.0,34.74,0.3806,0.039440414507772026
AE3007A1P,4.77,17.9,2002.0,1.0,34.74,0.3806,0.039440414507772026
AE3007A1P,4.77,17.9,2001.0,1.0,34.74,0.3806,0.039440414507772026
AE3007A2,4.79,20.2,2001.0,1.0,42.23,0.466,0.03972531375799195
AE3007A3,4.72,17.2,1994.0,1.0,33.0,0.3583,0.03908727272727273
AE3007A3,4.72,17.2,2002.0,1.0,33.0,0.3583,0.03908727272727273
AE3007A3,4.72,17.2,2001.0,1.0,33.0,0.3583,0.03908727272727273
AE3007C,5.3,16.2,1994.0,1.0,28.6,0.28,0.035244755244755246
AE3007A1E,4.72,19.06,2001.0,1.0,37.16,0.4122,0.03993326157158235
AE3007C,5.2,15.8,1994.0,1.0,29.62,0.301,0.036583389601620525
AE3007C,5.2,15.8,1994.0,1.0,29.62,0.301,0.036583389601620525
AE3007C,5.2,15.8,2002.0,1.0,29.62,0.301,0.036583389601620525
AE3007C1,5.1,16.58,1994.0,1.0,31.46,0.3222,0.03686967577876668
AE3007C1,5.1,16.58,2002.0,1.0,31.46,0.3222,0.03686967577876668
AE3007C2,4.99,17.44,2002.0,1.0,32.73,0.3263,0.03589000916590284
AE3007A1,4.77,17.97,2001.0,1.0,34.91,0.3826,0.03945459753652248
AE3007A1/1,4.77,17.9,2001.0,1.0,34.74,0.3805,0.0394300518134715
AE3007A1/3,4.81,17.22,2001.0,1.0,33.05,0.3589,0.03909349470499243
AE3007A1P,4.77,17.9,2001.0,1.0,34.74,0.3806,0.039440414507772026
AE3007A1E,4.72,19.06,2001.0,1.0,37.16,0.4122,0.03993326157158235
AE3007A2,4.79,20.2,2001.0,1.0,42.23,0.466,0.03972531375799195
